Rooms;Living_Space;Price;Address;Building_type;Location;possible_collocation;Transport_Index;Population
4,5;117;4300;1091 Grandvaux;Apartment;Grandvaux;yes;1,25;91
1;31;1210;Avenue Guillemin 4, 1009 Pully;Studio;Pully;no;1,25;19298
5,5;215;9300;1009 Pully;Apartment;Pully;yes;1,25;19298
1;80;1000;Rue de la gare 5, 1095 Lutry;Studio;Lutry;no;1,25;10796
4,5;145;3200;Rue davel 30, 1096 Cully;Apartment;Cully;yes;0,25;861
2,5;65;1600;Place du village 3, 1091 Grandvaux;Apartment;Grandvaux;yes;1,25;91
3,5;80;2740;Chemin du P?quis 6, 1092 Belmont-sur-Lausanne;Apartment;Lausanne;yes;1,5;144365
2,5;58;1750;Avenue de Guillemin 20, 1009 Pully;Apartment;Pully;yes;1,25;19298
2,5;74;2400;1093 La Conversion;Apartment;Lutry;yes;1,25;10796
3,5;90;1885;Ferme la tuilliŠre 1, 1073 Savigny;Apartment;Savigny;yes;0,25;3448
2;47;1363;Boulevard de la Forit 33, 1009 Pully;Apartment;Pully;no;1,25;19298
2,5;55;1320;Eden Roc 11, 1073 Savigny;Apartment;Savigny;yes;0,25;3448
3,5;55;1950;Rue du centre 20, Pully, 1009 Pully;Apartment;Pully;yes;1,25;19298
3,5;90;2590;Route de la Corniche 20, 1097 Riex;Apartment;Bourg-en-Lavaux;yes;1,25;5411
2,5;45;1750;Chemin du Manoir 3, 1009 Pully;Apartment;Pully;yes;1,25;19298
4,5;123;2800;Rte de Praz Repos 3, 1084 Carrouge VD;Apartment;M‚ziŠres;yes;0;3177
3,5;115;2600;Av. C.-F. Ramuz 97, 1009 Pully;Apartment;Pully;yes;1,25;19298
6;180;3400;Rte d'Oron 4, 1073 Savigny;Apartment;Savigny;yes;0,25;3448
4,5;80;1780;Chemin de la Paisible 5, Oron-La-Ville, 1610 Oron-la-Ville;Apartment;Oron;yes;0;6173
3,5;80;2080;Route de la Corniche 109, 1098 Epesses;Apartment;Bourg-en-Lavaux;yes;1,25;5411
1,5;33;1150;Ch le clos du brit 5, 1083 M‚ziŠres VD;Apartment;M‚ziŠres;no;0,25;3177
4,5;150;3800;Rte de Chenaux 2, 1091 Chenaux;Apartment;Oron;yes;1;6173
5,5;168;5195;Chemin de Rennier 30, 1009 Pully;Apartment;Pully;yes;1,25;19298
2,5;53;1950;Av des deux Ponts 12, 1009 Pully;Apartment;Pully;yes;1,25;19298
3,5;95;2550;Ch du Liaudoz 2, 1009 Pully;Apartment;Pully;yes;1,25;19298
1;21;1200;Route des Monts-de-Lavaux 31, 1092 Belmont-sur-Lausanne;Studio;Lausanne;no;1,5;144365
4,5;100;1650;Le Bourg 6, 1610 Chƒtillens;Apartment;Oron;yes;1;6173
3,5;70;1900;Chemin du Chaney 5, 1610 Chƒtillens;Apartment;Oron;yes;1;6173
1;12;1350;19 Chemin de Chauderon, 1091 Chenaux;Studio;Oron;no;1;6173
3,5;64;1540;10 route de Bossonnens, 1607 Pal‚zieux-Village;Apartment;Oron;yes;1;6173
2,5;57;2400;avenue G‚n‚ral Guisan, 6, 1009 Pully;Apartment;Pully;yes;1,25;19298
5,5;166;5740;1095 Lutry;Apartment;Lutry;yes;1,25;10796
2;55;1460;Grand rue 4 Chexbres, 1071 Chexbres;Apartment;Chexbres;no;0,25;2230
2,5;80;2045;Route de la Claie-aux-Moines 216, 1090 La Croix (Lutry);Apartment;Lutry;yes;1,25;10796
3,5;77;1540;Chemin des An‚mones, 1607 Pal‚zieux;Apartment;Oron;yes;1;6173
2,5;65;1950;Chemin du Burquenet 27, 1095 Lutry;Apartment;Lutry;yes;1,25;10796
3,5;84;2405;Route de Mollie-Margot 43, 1073 Mollie-Margot;Apartment;Savigny;yes;0,25;3448
2,5;60;1500;Ch du Rocher 29, 1071 St-Saphorin (Lavaux);Apartment;St-Saphorin;yes;0,25;391
3,5;100;3800;Lutry, 1095 Lutry;Apartment;Lutry;yes;1,25;10796
